NO,Title.of.Program,LOCATION,Executing.Firm,CONSULTANT,Start.Date,Anticipated.Completion.Date,Contract.Sum,Funding.Sources,Status.of.Project,,,,,,,,,,,,,,,,
529.   ,Surfacing Works on Papao Road – West Legon (CH. 0+200-0+400),West Legon,Messrs Henkoq Ventures Ltd.,Metro Roads Department,"Monday, November 12, 2029",3 Months,"49,503.80",Road Fund,Completed,,,,,,,,,,,,,,,,
530.   ,Gravelling Works  on Ablalashie Crescent (CH. 0+000-0+200,East Legon,Messrs Phylido Enterprise,Metro Roads Department,"Monday, September 13, 2010",3 Months,"31,160.00",Road Fund,Completed,,,,,,,,,,,,,,,,
531.   ,Surfacing Works on Papao Road – West Legon (CH. 0+400-0+500),West Legon,Messrs Henkoq Ventures Ltd.,Metro Roads Department,"Monday, November 12, 2029",3 Months,"28,739.40",Road Fund,Completed,,,,,,,,,,,,,,,,
532.   ,Surfacing on Lily Street - East Legon(Chainage 0+000-0+160),East Legon,Messrs Nakia Company Limited,Metro Roads Department,"Saturday, April 13, 2002",3 Months,"48,333.83",Road Fund,Completed,,,,,,,,,,,,,,,,
533.   ,Surfacing work on Oleader Lane - East Legon (Chainage 0+000-0+200),East Legon,Messrs  Nakia Company Limited,Metro Roads Department,"Saturday, April 13, 2002",3 Months,"49,731.10",Road Fund,Completed,,,,,,,,,,,,,,,,
534.   ,Surfacing work on Lily Street Lane - East Legon (Chainage 0+000-0+160),East Legon,Messrs  Nakia Company Limited,Metro Roads Department,"Saturday, April 13, 2002",3 Months,"48,333.83",Road Fund,Completed,,,,,,,,,,,,,,,,
535.   ,Surfacing work on Oleader Lane - East Legon (Chainage 0+000-0+425),East Legon,Messrs  Nakia Company Limited,Metro Roads Department,"Saturday, April 13, 2002",3 Months,"48,333.83",Road Fund,Completed,,,,,,,,,,,,,,,,
536.   ,Surfacing work on Habiscus Street - East Legon (Chainage 0+000-0+180),East Legon,Messrs  Nakia Company Limited,Metro Roads Department,"Saturday, April 13, 2002",3 Months,"49,785.40",Road Fund,Completed,,,,,,,,,,,,,,,,
537.   ,Surfacing work on Lilly Street - East Legon (Chainage 0+000-0+320),East Legon,Messrs  Tecbuildtel Company Limited,Metro Roads Department,"Saturday, April 13, 2002",3 Months,"48,333.83",Road Fund,Completed,,,,,,,,,,,,,,,,
538.   ,Surfacing work on Oleader Lane - East Legon (Chainage 0+000-0+320),East Legon,Messrs  Nakia Company Limited,Metro Roads Department,"Saturday, April 13, 2002",3 Months,"48,333.83",Road Fund,Completed,,,,,,,,,,,,,,,,
539.   ,Surfacing work on Papao Road – West Legon (Chainage 0+000-0+200),West Legon,Messrs Henkoq Ventures Limited,Metro Roads Department,"Monday, November 12, 2029",3 Months,"49,503.80",Road Fund,Completed,,,,,,,,,,,,,,,,
540.   ,Surfacing works along Abetsewe Loop-Okaikoi South (Chainage 0000-0+100),North Kaneshie,Messrs Benfipiah Company Limited,Metro Roads Department,"Thursday, October 13, 2022","Monday, May 14, 2001","33,472.90",Road Fund,Completed,,,,,,,,,,,,,,,,
541.   ,Surfacing works on Wuo Street (Chainage 0+180-0+360)- Ablekuma North,Dansoman,Messrs Cytemercy Enterprise,Metro Roads Department,"Wednesday, October 13, 2021","Thursday, April 14, 2022","48,789.95",Road Fund,Completed,,,,,,,,,,,,,,,,
542.   ,Surfacing works on Wuo Street (Chainage 0+000-0+180)- Ablekuma North,Dansoman,Messrs Cytemercy Enterprise,Metro Roads Department,"Wednesday, October 13, 2021","Thursday, April 14, 2022","48,789.95",Road Fund,Completed,,,,,,,,,,,,,,,,
543.   ,Surfacing works on Gbawe Tawiah Link,Dansoman,Messrs Cytemercy Enterprise,Metro Roads Department,"Wednesday, October 13, 2021","Thursday, April 14, 2022","40,299.20",Road Fund,Completed,,,,,,,,,,,,,,,,
544.   ,Gravelling works on Adoley Abla street (Chainage 0+150-0+300) Ablekuma Central,Sukura,Messrs Quakor Limited,Metro Roads Department,"Monday, September 14, 2026","Monday, February 15, 2010","48,038.75",Road Fund,Completed,,,,,,,,,,,,,,,,
545.   ,Gravelling works on Naa Amonoa Street  (Chainage 0+390-0+520) Ablekuma Central,Zamlama Line,Messrs Quakor Limited,Metro Roads Department,"Monday, September 14, 2026","Monday, February 15, 2010","49,330.25",Road Fund,Completed,,,,,,,,,,,,,,,,
546.   ,Gravelling works on Adoley Abla street (Chainage 0+150-0+300) Ablekuma Central,Sukura,Messrs Quakor Limited,Metro Roads Department,"Wednesday, March 14, 2012","Tuesday, September 15, 2020","46,807.10",Road Fund,Completed,,,,,,,,,,,,,,,,
547.   ,Filling works on Nii Adu Link Glefe (Chainage 0+575-0+0+700) – Ablekuma South  ,Glefe,Messrs  Collosal Ventures,Metro Roads Department,"Saturday, December 14, 2019","Tuesday, May 15, 2029","48,723.40",Road Fund,Completed,,,,,,,,,,,,,,,,
548.   ,Surfacing of Kusia Road (CH 0+250-0+375) East Legon,East Legon,Messrs Rozarre Limited,Metro Roads Department,"Sunday, November 13, 2005","Wednesday, February 14, 2018","49,951.81",Road Fund,Completed,,,,,,,,,,,,,,,,
549.   ,"Surfacing of Kusia Road (CH 0+125-0+250) East Legon, AMRD/LA/VOL.3/13/135",East Legon,Messrs Rozarre Limited,Metro Roads Department,"Sunday, November 13, 2005","Wednesday, February 14, 2018","49,951.81",Road Fund,Completed,,,,,,,,,,,,,,,,
550.   ,"Surfacing of Otinshie Road (CH 0+600-0+750) East Legon, AMRD/LA/VOL.3/13/PM/132",East Legon,Messrs Rozarre Limited,Metro Roads Department,"Sunday, November 13, 2005","Wednesday, February 14, 2018","46,835.25",Road Fund,Completed,,,,,,,,,,,,,,,,
551.   ,"Surfacing of Kusia Road (CH 0+250-0+375) East Legon, AMRD/LA/VOL 3/!3/129",East Legon,Messrs Rozarre Limited,Metro Roads Department,"Sunday, November 13, 2005","Wednesday, February 14, 2018","49,951.81",Road Fund,Completed,,,,,,,,,,,,,,,,
552.   ,Surfacing works along Concam Road (CH 0+535-0+560) and concam close (Ch 0 +000-0+095),Kokomlemle,Messrs Reggio Company Limited/Ghana Growth Fund Co. Ltd,Metro Roads Department,"Thursday, July 14, 2016","Monday, November 14, 2005","45,813.80",Road Fund,Completed,,,,,,,,,,,,,,,,
553.   ,Surfacing works along Concam Road (CH 0+255-0+395),Kokomlemle,Messrs Reggio Company Limited/Ghana Growth Fund Co. Ltd,Metro Roads Department,"Thursday, July 14, 2016","Monday, November 14, 2005","49,659.00",Road Fund,Completed,,,,,,,,,,,,,,,,
554.   ,Surfacing works along Concam Crescent Road (CH 0+395-0+535),Kokomlemle,Messrs Reggio Company Limited/Ghana Growth Fund Co. Ltd,Metro Roads Department,"Thursday, July 14, 2016","Monday, November 14, 2005","45,659.00",Road Fund,Completed,,,,,,,,,,,,,,,,
555.   ,Surfacing works along Akpakpa Road 1 (CH 0+130-0+187) and Abele Road (CH 0+140-0+198),Accra Newtown,Messrs Reggio Company Limited/Ghana Growth Fund Co. Ltd,Metro Roads Department,"Thursday, July 14, 2016","Monday, November 14, 2005","43,509.60",Road Fund,Completed,,,,,,,,,,,,,,,,
556.   ,Surfacing works along Akpakpa Road 1 (CH 0+000-0+130),Accra New Town,Messrs Reggio Company Limited/Ghana Growth Fund Co. Ltd,Metro Roads Department,"Thursday, July 14, 2016","Monday, November 14, 2005","49,944.35",Road Fund,Completed,,,,,,,,,,,,,,,,
557.   ,Surfacing works along Abele Road 1 (CH.000+000-0+140),Accra Newtown,Messrs Reggio Company Limited/Ghana Growth Fund Co. Ltd,Metro Roads Department,"Thursday, July 14, 2016","Monday, November 14, 2005","49,849.00",Road Fund,Completed,,,,,,,,,,,,,,,,
558.   ,Gravelling works on Nsikinaa Link (CH 0+000-0+280),Agege,Messrs Jotie Limited,Metro Roads Department,"Monday, April 14, 2014","Wednesday, September 14, 2005","49,767.00",Road Fund,Completed,,,,,,,,,,,,,,,,
559.   ,Filling works on Nii Adu Link Glefe (Chainage 0+700-0+775) – Ablekuma South,Glefe,Messrs Collosal Ventures,Metro Roads Department,"Saturday, December 14, 2019","Tuesday, May 15, 2029","45,970.60",Road Fund,Completed,,,,,,,,,,,,,,,,
560.   ,"Cutting of unsuitable  material on Nii Adu Link, Glefe (Chainage 0+000-0+450)",Glefe,Messrs Collosal  ventures,Metro Roads Department,"Friday, December 14, 2018","Sunday, April 15, 2012","49,525.00",Road Fund,Completed,,,,,,,,,,,,,,,,
561.   ,"Cutting of unsuitable  material on Nii Adu Link, Glefe (Chainage 0+450-0+850)",Glefe,Messrs Collosal  ventures,Metro Roads Department,"Friday, December 14, 2018","Sunday, April 15, 2012","49,525.00",Road Fund,Completed,,,,,,,,,,,,,,,,
562.   ,Filling works on Nii Adu Link Glefe (Chainage 0+775-0+867) – Ablekuma South,Glefe,Messrs Collosal  ventures,Metro Roads Department,"Saturday, December 14, 2019","Sunday, April 15, 2029","47,302.60",Road Fund,Completed,,,,,,,,,,,,,,,,
563.   ,Gravelling works on 1st Chemu Link road – Ablekuma South (Chainage 0+000-0+350),Mamprobi,Messrs  Umar Babi Enterprise,Metro Roads Department,-,-,"49,801.44",Road Fund,Completed,,,,,,,,,,,,,,,,
564.   ,Gravelling works on 5th Damba Street – Ablekuma South (Chainage 0+000-0+375),Dansoman,Messrs  Umar Babi Enterprise,Metro Roads Department,-,-,"46,973.00",Road Fund,Completed,,,,,,,,,,,,,,,,
565.   ,Gravelling works along Wesley Grammar (Chainage 0+500-0+650) – Ablekuma South,Dansoman,Messrs Umar Babi Enterprise,Metro Roads Department,-,-,"22,525.00",Road Fund,Completed,,,,,,,,,,,,,,,,
566.   ,Filling works on Nii Adu Link Glefe (Chainage 0+500-0+750) – Ablekuma  South,Glefe,Messrs Umar Babi Enterprise,Metro Roads Department,"Friday, December 14, 2018","Sunday, April 15, 2012","49,345.00",Road Fund,Completed,,,,,,,,,,,,,,,,
567.   ,Filling works on Nii Adu Link Glefe (Chainage 0+000-0+250)  - Ablekuma South,Glefe,Messrs Umar Babi Enterprise,Metro Roads Department,"Friday, December 14, 2018","Saturday, April 14, 2012","49,345.00",Road Fund,Completed,,,,,,,,,,,,,,,,
568.   ,Filling works on Nii Adu Link Glefe (Chainage 0+250-0+500) – Ablekuma South,Glefe,Messrs Umar Babi Enterprise,Metro Roads Department,"Friday, December 14, 2018","Sunday, April 15, 2012","49,345.00",Road Fund,Completed,,,,,,,,,,,,,,,,
569.   ,Gravelling works on Pentecost road A and B Mempeasem (CH 0+00-0+500) Ayawaso West,Mempeasem,Messrs Amacol Company Limited,Metro Roads Department,"Friday, December 14, 2018","Wednesday, January 15, 1930","47,894.38",Road Fund,Completed,,,,,,,,,,,,,,,,
570.   ,Surface Works Along Ablalashie Link Road – East Legon (CH 0+360-0+520) Ayawaso West Wuogon,East Legon,Messrs Ramas Company Limited,Metro Roads Department,-,-,"49,220.90",Road Fund,Completed,,,,,,,,,,,,,,,,
571.   ,Surface Works Along Ablalashie  Road – East Legon (CH 0+520-0+680) Ayawaso West Wuogon,East Legon,Messrs Ramas Company Limited,Metro Roads Department,-,-,"49,220.90",Road Fund,Completed,,,,,,,,,,,,,,,,
572.   ,Surfacing Works Along Ablalashie Link 1  Road – East Legon- Ayawaso West Wuogon,East Legon,Messrs Ramas Company Limited,Metro Roads Department,-,-,"49,069.40",Road Fund,Completed,,,,,,,,,,,,,,,,
573.   ,Construction of 0.9 M U Drain Adjiriganor 3rd Link Road LHS (60M),East Legon,Messrs Jecsej,Metro Roads Department,"Monday, September 14, 2026","Tuesday, February 15, 2011","42,613.60",Road Fund,Completed,,,,,,,,,,,,,,,,
574.   ,"Paving Work at Laterbiokorshie Phase 2 (Chainage 0+105-0+210) – Ablekuma Central, Contract No. AMRD/PM/PQ/VOL.5/2014/185",Laterbiokorshie,Messrs Le-Lac Investment Co. Ltd,Metro Roads Department,"Thursday, September 14, 2028","Saturday, March 15, 2008","49,866.00",Road Fund,Completed,,,,,,,,,,,,,,,,
575.   ,"Paving Work at Laterbiokorshie Phase 1 (Chainage 0+000-0+105) Ablekuma Central, Contract No. AMRD/PM/PQ/Vol.5/2014/186",Latebiokorshie,Messrs Galoni Ventures,Metro Roads Department,"Monday, September 14, 2026","Tuesday, March 15, 2005","49,586.00",Road Fund,Completed,,,,,,,,,,,,,,,,
576.   ,Gravelling Works Along Mampong Okai  Street (Chainage 0+350-0+700) – Ablekuma  South,Dansoman,Messrs Mbanba Construction,Metro Roads Department,"Sunday, March 14, 2027","Monday, August 14, 2006","49,081.40",Road Fund,Completed,,,,,,,,,,,,,,,,
577.   ,"Routine maintenance works on Cleland Street, High Street & 28th February Road for the month of April, 2015",Accra,Messrs Zatomwando ent,Metro Roads Department,"Saturday, October 14, 2028",-,"4,880.00",Road Fund,Completed,,,,,,,,,,,,,,,,
578.   ,"Routine maintenance along Abossey Okai road (RHS) for the month of April, 2015",Abossey Okai,Messrs Dantpz Ent,Metro Roads Department,-,-,"4,880.00",Road Fund,Completed,,,,,,,,,,,,,,,,
579.   ,"Routine Maintenance Works On Cleland Street, High Street & 28th February Road For The Month of March",Accra,Messrs Zatomwando Ent,Metro Roads Department,"Saturday, October 14, 2028",-,"4,880.00",Road Fund,Completed,,,,,,,,,,,,,,,,
580.   ,Surfacing of Manu  Avenue  West Legon (Chainage 0+280-0+370)- Ayawaso West Wuogon Contract No : AMRD/PM/PQ/VOL.5/2014/098,West Legon,Messrs Amandarich  Enterprise,Metro Roads Department,"Friday, December 14, 2018","Friday, January 15, 2021","33,002.97",Road Fund,Completed,,,,,,,,,,,,,,,,
581.   ,"Surfacing of 1st Baiden avenue west Legon  (Chainage 0+500-0+545) – Ayawaso west  wuogon,Contract no:  AMRD/PM/PQ/VOL.7/2014/147",West Legon,Messrs Amandarich Enterprise,Metro Roads Department,"Friday, December 14, 2018","Monday, July 15, 2024","20,199.88",Road Fund,Completed,,,,,,,,,,,,,,,,
582.   ,Gravelling Works on Opetekwei Maame Street-Ablekuma South (Chainage 0+000-0+200),Ablekuma South,Messrs Movavi Limited,Metro Roads Department,"Sunday, May 13, 2029","Tuesday, March 14, 2028","49,725.00",Road Fund,Completed,,,,,,,,,,,,,,,,
583.   ,Gravelling of Ivy Street Dansoman- Ablekuma South (Chainage 0+425-0+850),Ablekuma South,Messrs Movavi Limited,Metro Roads Department,"Wednesday, October 13, 2021","Tuesday, March 14, 2028","49,488.80",Road Fund,Completed,,,,,,,,,,,,,,,,
584.   ,Gravelling woks on Nii Abbey Link Road (Chainage 0+000-0+150) and Asafoatse Lankai (200M) Ablekuma North,Ablekuma North,Messrs Zimmah Enterprise Limted,Metro Roads Department,"Friday, December 14, 2018","Friday, April 15, 2022","46,617.31",Road Fund,Completed,,,,,,,,,,,,,,,,
585.   ,Surfacing of Baiden Avenue West Legon  (Chainage 0+000-0+170) – Ayawaso west  wuogon Contract No: AMRD/PM/PQ/VOL.5/2014/001,West Legon,Messrs Amandarich Enterprise,Metro Roads Department,"Thursday, July 14, 2016","Friday, January 15, 2021","49,393.05",Road Fund,Completed,,,,,,,,,,,,,,,,
586.   ,Surfacing of 1st Baiden Avenue West Legon  (Chainage 0+375-0+500) – Ayawaso West  Wuogon Contract no:  AMRD/PM/PQ/VOL.7/2014/147,West Legon,Messrs Amandarich  Enterprise,Metro Roads Department,"Friday, December 14, 2018","Monday, July 15, 2024","47,615.59",Road Fund,Completed,,,,,,,,,,,,,,,,
587.   ,Surfacing of 2nd Baiden avenue west Legon  (Chainage  0+000-0+125) – Ayawaso west wuogon Contract no: AMRD/PM/PQ/VOL.5/2014/005,West Legon,Messrs Amandarich Enterprise,Metro Roads Department,"Thursday, July 14, 2016","Friday, January 15, 2021","49,618.00",Road Fund,Completed,,,,,,,,,,,,,,,,
588.   ,Surfacing of 1st Baiden Avenue West Legon (Chainage 0+000-0+125) – Ayawaso West  Wuogon Contract no: AMRD/PM/PQ/VOL.5/2014/002,West Legon,Messrs Amandarich Enterprise,Metro Roads Department,"Thursday, July 14, 2016","Friday, January 15, 2021","49,618.00",Road Fund,Completed,,,,,,,,,,,,,,,,
589.   ,Surfacing of 2nd Baiden Avenue West Legon  (Chainage 0+125-0+240) –Ayawaso West Contract no: AMRD/PM/PQ/ VOL.5/2014/006,West Legon,Messrs Amandarich Enterprise,Metro Roads Department,"Thursday, July 14, 2016","Friday, January 15, 2021","46,622.00",Road Fund,Completed,,,,,,,,,,,,,,,,
590.   ,Surfacing of 1st Baiden Avenue West Legon (Chainage 0+250-0+375) – Ayawaso West  Wuogon Contract no: AMRD/PM/PQ/VOL.5/2014/004,West Legon,Messrs Amandarich Enterprise,Metro Roads Department,"Thursday, July 14, 2016","Thursday, July 14, 2016","49,618.00",Road Fund,Completed,,,,,,,,,,,,,,,,
591.   ,Surfacing of 1st Baiden  Avenue West Legon (Chainage 0+500-0+545) – Ayawaso West Wuogon Contract No: AMRD/PM/PQ/VOL. 7/2014/146,West Legon,Messrs Amandarich Enterprise,Metro Roads Department,"Friday, December 14, 2018","Monday, July 15, 2024","20,199.88",Road Fund,Completed,,,,,,,,,,,,,,,,
592.   ,"Routine maintenance  works along Abossey Okai Road (RHS) for the month of March, 2015",Abbossey Okai,Messrs Dantoz Ent,Metro Roads Department,-,-,"6,795.00",Road Fund,Completed,,,,,,,,,,,,,,,,
593.   ,"Gravelling works on 3rd street , Adom Avenue (Ch 0+000-0+350) West Legon – Ayawaso West Contract no: AMRD/PM/PQ/VOL.4/2014/016",Legon,Messrs Luluna Limited,Metro Roads Department,"Thursday, July 14, 2016","Thursday, November 14, 2019","49,621.10",Road Fund,Completed,,,,,,,,,,,,,,,,
594.   ,Gravelling works along 1st Nii Sai link road – Mempeasem (0+400-0+750) Ayawaso West,Mempeasem,Messrs Fatom Company Limited,Metro Roads Department,"Friday, December 14, 2018","Tuesday, April 15, 2008","42,777.20",Road Fund,Completed,,,,,,,,,,,,,,,,
595.   ,Gravelling works along 1st Nii Sai Link road – Mempeasem (0+000-0+400) Ayawaso West Contract No: AMRD/LA/Vol. 7/17/PM/001,Mempeasem,Messrs Fatom Company Limited,Metro Roads Department,"Friday, December 14, 2018","Tuesday, April 15, 2008","48,633.05",Road Fund,Completed,,,,,,,,,,,,,,,,
596.   ,Gravelling work on Fanaa Crescent Street (Chainage 0+000-0+220) and Lane (80M) – Ablekuma South,Dansoman,Messrs Dapore Ventures,Metro Roads Department,"Monday, September 14, 2026","Monday, March 15, 2010","48,599.25",Road Fund,Completed,,,,,,,,,,,,,,,,
597.   ,Gravelling works on Alogboshie Main road (Chainage 0+000-0+180) Contract No: AMRD/PM/PQ/VOL.3/201/128,Alogboshie,Messrs Lomenf Co. Ltd,Metro Roads Department,"Friday, June 14, 2024","Monday, January 15, 2001","38,059.34",Road Fund,Completed,,,,,,,,,,,,,,,,
598.   ,Gravelling works on Alogboshie Main road  (Chainage 0+600-0+900) Contract no: AMRD/PM/PQ/VOL.3/2014/130,Alogboshie,Messrs Lomenf Co. Ltd,Metro Roads Department,"Friday, June 14, 2024","Monday, January 15, 2001","49,860.50",Road Fund,Completed,,,,,,,,,,,,,,,,
599.   ,Gravelling work on Alogboshie Main Road (Chainage 0+300-0+600) AMRD/PM/PQ/VOL.3/2014/129,Alogboshie,Messrs Lomenf Co. Ltd,Metro Roads Department,"Friday, June 14, 2024","Monday, January 15, 2001","49,860.50",Road Fund,Completed,,,,,,,,,,,,,,,,
600.   ,Gravelling work on Alogboshie Main Road (Chainage 0+000-0+300),Abofu,Messrs Lomenf Co. Ltd,Metro Roads Department,"Friday, June 14, 2024","Monday, January 15, 2001","49,860.50",Road Fund,Completed,,,,,,,,,,,,,,,,
601.   ,Gravelling work on Agyeman/Frimpong Street Sabon Zongo (Chainage 0+150-0+280) – Ablekuma Central,Sabon Zongo,Messrs Salleydeen Company Limited,Metro Roads Department,"Monday, September 14, 2026","Friday, February 15, 2013","49,626.76",Road Fund,Completed,,,,,,,,,,,,,,,,
602.   ,Gravelling work on Agyeman/Frimpong Street Sabon Zongo (Chainage 0+000-0+150) – Ablekuma Central,Sabon Zongo,Messrs Salleydeen Company Limited,Metro Roads Department,"Monday, September 14, 2026","Friday, February 15, 2013","47,171.64",Road Fund,Completed,,,,,,,,,,,,,,,,
603.   ,Gravelling works around Pentecost Road B and other (300M) Ayawaso West AMRD/PM/VOL.7/2014/190,East Legon,Messrs Kin-Aimaz Company Ltd,Metro Roads Department,"Friday, December 14, 2018","Wednesday, March 15, 2023","30,400.19",Road Fund,Completed,,,,,,,,,,,,,,,,
604.   ,Gravelling works on Pentecost Road Mempeasem Area (Chainage 0+000-0+300)Ayawaso West,Pentecost Road,Messrs Kin-Aimaz Company Ltd,Metro Roads Department,"Thursday, April 14, 2016","Saturday, May 14, 2016","49,761.00",Road Fund,Completed,,,,,,,,,,,,,,,,
605.   ,Gravelling works on Trinity Road-Mempeasem (Chainage 0+350-0+625) AMRD/LA/VOL.2/14/PM/029,Mempeasem,Messrs Shamma Rohi Ltd,Metro Roads Department,"Tuesday, March 14, 2017",3 Months,"44,211.50",Road Fund,Completed,,,,,,,,,,,,,,,,
